issn,year,anti_labor,neutral,pro_labor,total_labor,anti_labor_intensity,anti_labor_rr,total_labor_rr
1541-6720,1875,0,1,2,3,0.0,0,0
1541-6720,1877,9,1,0,10,0.9,4,5
1541-6720,1878,1,0,4,5,0.2,0,0
1541-6720,1879,0,1,0,1,0.0,0,0
1541-6720,1880,0,0,4,4,0.0,0,0
1541-6720,1883,1,0,0,1,1.0,1,1
1541-6720,1884,0,0,2,2,0.0,0,0
1541-6720,1885,0,1,3,4,0.0,0,0
1541-6720,1886,3,9,11,23,0.13043478260869565,1,1
1541-6720,1887,0,1,0,1,0.0,0,0
1541-6720,1888,0,0,1,1,0.0,0,0
1541-6720,1889,0,1,0,1,0.0,0,0
1541-6720,1890,0,1,1,2,0.0,0,0
1940-7424,1886,0,1,4,5,0.0,0,0
1940-7424,1887,0,0,1,1,0.0,0,1
1940-7424,1888,0,0,3,3,0.0,0,1
1940-7440,1880,0,1,0,1,0.0,0,1
1940-7440,1881,0,0,1,1,0.0,0,0
1940-7440,1889,0,0,1,1,0.0,0,0
1940-7440,1890,0,0,1,1,0.0,0,0
1940-7831,1870,6,2,6,14,0.42857142857142855,0,0
1940-7831,1871,1,1,0,2,0.5,0,0
1940-7831,1872,0,0,1,1,0.0,0,1
1940-7831,1873,0,0,1,1,0.0,0,0
1940-7831,1875,1,1,1,3,0.3333333333333333,0,0
1940-7831,1876,2,0,2,4,0.5,1,1
1940-7831,1877,8,2,4,14,0.5714285714285714,6,9
1940-7831,1878,4,0,6,10,0.4,1,2
1940-7831,1879,2,1,4,7,0.2857142857142857,0,1
1940-7831,1880,1,0,0,1,1.0,0,0
1940-7831,1882,5,3,1,9,0.5555555555555556,1,1
1940-7831,1883,1,2,1,4,0.25,0,0
1940-7831,1884,0,1,3,4,0.0,0,0
1940-7831,1885,1,0,2,3,0.3333333333333333,0,0
1940-7831,1887,10,8,13,31,0.3225806451612903,0,1
1940-7831,1888,5,1,0,6,0.8333333333333334,1,1
1940-7831,1889,0,1,2,3,0.0,0,0
1940-7831,1890,18,18,5,41,0.43902439024390244,2,6
1940-9729,1890,0,1,1,2,0.0,0,0
1941-0646,1869,43,65,60,168,0.25595238095238093,6,25
1941-0646,1870,33,44,51,128,0.2578125,3,21
1941-0646,1871,36,32,35,103,0.34951456310679613,3,15
1941-0646,1872,37,43,50,130,0.2846153846153846,2,11
1941-0646,1873,47,36,36,119,0.3949579831932773,14,31
1941-0646,1874,92,48,43,183,0.5027322404371585,19,46
1941-0646,1875,28,22,35,85,0.32941176470588235,4,13
1941-0646,1876,20,14,15,49,0.40816326530612246,6,14
1941-0646,1877,133,56,57,246,0.540650406504065,75,115
1941-0646,1878,60,42,70,172,0.3488372093023256,7,19
1941-0646,1879,28,27,22,77,0.36363636363636365,4,11
1941-0646,1880,36,54,53,143,0.2517482517482518,1,8
1941-0646,1881,27,29,6,62,0.43548387096774194,7,12
1941-0646,1882,112,113,37,262,0.42748091603053434,30,58
1941-0646,1883,95,150,73,318,0.29874213836477986,30,64
1941-0646,1884,52,79,55,186,0.27956989247311825,7,21
1941-0646,1885,149,102,48,299,0.4983277591973244,25,47
1941-0646,1886,478,588,216,1282,0.37285491419656785,96,225
1941-0646,1887,287,368,103,758,0.3786279683377309,56,104
1941-0646,1888,210,288,157,655,0.32061068702290074,80,155
1941-0646,1889,137,151,49,337,0.4065281899109792,31,67
1941-0646,1890,219,204,80,503,0.43538767395626243,74,124
1941-0654,1887,5,5,0,10,0.5,1,1
1941-0654,1888,13,31,18,62,0.20967741935483872,4,5
1941-0654,1889,4,6,4,14,0.2857142857142857,0,0
1941-0654,1890,2,13,5,20,0.1,0,1
1941-0670,1889,1,2,3,6,0.16666666666666666,0,1
1941-0670,1890,37,39,29,105,0.3523809523809524,12,16
1941-0727,1887,0,0,1,1,0.0,0,1
1941-2959,1890,29,34,27,90,0.32222222222222224,14,28
1941-2967,1884,10,10,26,46,0.21739130434782608,5,6
1941-2967,1885,23,36,25,84,0.27380952380952384,11,22
1941-2967,1886,133,163,112,408,0.32598039215686275,34,66
1941-2967,1887,62,86,27,175,0.35428571428571426,18,38
1941-2967,1888,34,64,46,144,0.2361111111111111,20,57
1941-2967,1889,17,52,9,78,0.21794871794871795,2,12
1941-2967,1890,35,79,21,135,0.25925925925925924,18,36
1941-3009,1882,0,2,2,4,0.0,0,0
1941-3009,1883,3,0,4,7,0.42857142857142855,1,1
1941-3009,1886,5,3,0,8,0.625,0,1
1941-3009,1887,0,1,0,1,0.0,0,0
1941-3009,1888,0,0,2,2,0.0,0,2
1941-3033,1880,12,11,5,28,0.42857142857142855,0,2
1941-3033,1881,10,2,3,15,0.6666666666666666,2,2
