issn,year,anti_labor,neutral,pro_labor,total_labor,anti_labor_intensity,railroad_interest,has_editor,has_publisher,state,year_str,political_affiliation_raw,republican,person_republican,pop_1870,pop_1880,pop_1890,county_pop,log_county_pop
0034-5075,1871,0,0,2,2,0.0,1,1,1,MAINE,1871,Democratic,0.0,0.0,34522.0,32463.0,27759.0,34316.1,10.443369910781161
0034-5075,1872,1,0,1,2,0.5,1,1,1,MAINE,1872,Democratic,0.0,0.0,34522.0,32463.0,27759.0,34110.2,10.437351738778673
0034-5075,1873,0,1,0,1,0.0,1,1,1,MAINE,1873,Democratic,0.0,0.0,34522.0,32463.0,27759.0,33904.3,10.431297128982383
0034-5075,1877,11,2,1,14,0.7857142857142857,1,1,1,MAINE,1877,Democratic,0.0,0.0,34522.0,32463.0,27759.0,33080.7,10.40670530973599
0034-5075,1879,0,1,3,4,0.0,1,1,1,MAINE,1879,Democratic,0.0,0.0,34522.0,32463.0,27759.0,32668.9,10.394178833994598
1941-0646,1869,43,65,60,168,0.25595238095238093,0,1,0,NEW YORK,1869,Independent,,1.0,942292.0,1206299.0,1515301.0,942292.0,13.756070484293586
1941-0646,1871,36,32,35,103,0.34951456310679613,0,1,0,NEW YORK,1871,Independent,,1.0,942292.0,1206299.0,1515301.0,968692.7,13.783702709513262
1941-0646,1873,47,36,36,119,0.3949579831932773,1,1,0,NEW YORK,1873,Independent,,1.0,942292.0,1206299.0,1515301.0,1021494.1,13.836776917403261
1941-0646,1876,20,14,15,49,0.40816326530612246,1,1,0,NEW YORK,1876,Independent,,1.0,942292.0,1206299.0,1515301.0,1100696.2,13.911453446657019
1941-0646,1877,133,56,57,246,0.540650406504065,1,1,0,NEW YORK,1877,Independent,,1.0,942292.0,1206299.0,1515301.0,1127096.9,13.935155769804952
1941-0646,1878,60,42,70,172,0.3488372093023256,1,1,0,NEW YORK,1878,Independent,,1.0,942292.0,1206299.0,1515301.0,1153497.6,13.958309275969594
1941-0646,1879,28,27,22,77,0.36363636363636365,1,1,0,NEW YORK,1879,Independent,,1.0,942292.0,1206299.0,1515301.0,1179898.3,13.980938806286904
1941-0646,1880,36,54,53,143,0.2517482517482518,1,1,0,NEW YORK,1880,Independent,,1.0,942292.0,1206299.0,1515301.0,1206299.0,14.003067552571949
1941-0646,1882,112,113,37,262,0.42748091603053434,1,1,0,NEW YORK,1882,Independent,,1.0,942292.0,1206299.0,1515301.0,1268099.4,14.053029802074073
1941-0646,1883,95,150,73,318,0.29874213836477986,1,1,0,NEW YORK,1883,Independent,,1.0,942292.0,1206299.0,1515301.0,1298999.6,14.077104987723512
1941-0646,1884,52,79,55,186,0.27956989247311825,1,1,0,NEW YORK,1884,Republican,1.0,1.0,942292.0,1206299.0,1515301.0,1329899.8,14.100614159013997
1941-0646,1885,149,102,48,299,0.4983277591973244,1,1,0,NEW YORK,1885,Republican,1.0,1.0,942292.0,1206299.0,1515301.0,1360800.0,14.123583320063789
1941-0646,1890,219,204,80,503,0.43538767395626243,1,0,1,NEW YORK,1890,Republican,1.0,1.0,942292.0,1206299.0,1515301.0,1515301.0,14.231124657059363
1943-8990,1878,20,19,38,77,0.2597402597402597,0,1,1,,1878,,,1.0,23085.0,45890.0,139796.0,41329.0,10.629319711713425
1943-8990,1879,23,24,24,71,0.323943661971831,0,1,1,,1879,,,1.0,23085.0,45890.0,139796.0,43609.5,10.683030295510823
1943-8990,1880,23,30,12,65,0.35384615384615387,0,1,1,,1880,,,1.0,23085.0,45890.0,139796.0,45890.0,10.73400250738888
1943-8990,1882,46,60,35,141,0.3262411347517731,0,1,1,,1882,,,1.0,23085.0,45890.0,139796.0,64671.2,11.077071250013033
1943-8990,1883,66,78,42,186,0.3548387096774194,0,1,1,,1883,,,1.0,23085.0,45890.0,139796.0,74061.8,11.21265515879013
1943-8990,1884,0,1,2,3,0.0,0,1,1,,1884,,,1.0,23085.0,45890.0,139796.0,83452.4,11.332031688412798
1946-6080,1890,70,78,33,181,0.3867403314917127,1,1,0,TEXAS,1890,Democratic,0.0,,5788.0,24671.0,41142.0,41142.0,10.624784776512419
1946-6153,1869,3,13,2,18,0.16666666666666666,1,1,1,VIRGINIA,1869,Independent,,,16755.0,17546.0,18597.0,16755.0,9.726452000171411
1946-6153,1871,7,11,10,28,0.25,1,1,1,VIRGINIA,1871,Independent,,,16755.0,17546.0,18597.0,16834.1,9.731161870112675
1946-6153,1872,16,20,8,44,0.36363636363636365,1,1,1,VIRGINIA,1872,Independent,,,16755.0,17546.0,18597.0,16913.2,9.735849661127325
1946-6153,1873,12,17,2,31,0.3870967741935484,1,1,1,VIRGINIA,1873,Independent,,,16755.0,17546.0,18597.0,16992.3,9.740515579253042
1946-6153,1876,6,3,0,9,0.6666666666666666,1,1,1,VIRGINIA,1876,Independent,,,16755.0,17546.0,18597.0,17229.6,9.754384113930383
1946-6153,1877,61,22,17,100,0.61,1,1,1,VIRGINIA,1877,Independent,,,16755.0,17546.0,18597.0,17308.7,9.758964544252395
1946-6153,1878,6,14,6,26,0.23076923076923078,1,1,1,VIRGINIA,1878,Independent,,,16755.0,17546.0,18597.0,17387.8,9.763524089857118
1946-6153,1879,1,3,3,7,0.14285714285714285,1,1,1,VIRGINIA,1879,Independent,,,16755.0,17546.0,18597.0,17466.9,9.768062940330422
1946-6153,1880,3,4,0,7,0.42857142857142855,1,0,1,VIRGINIA,1880,Independent,,,16755.0,17546.0,18597.0,17546.0,9.772581282688328
1946-6153,1882,6,6,3,15,0.4,1,1,1,VIRGINIA,1882,Independent,,,16755.0,17546.0,18597.0,17756.2,9.784490029688643
1946-6153,1883,2,3,1,6,0.3333333333333333,1,1,1,VIRGINIA,1883,Independent,,,16755.0,17546.0,18597.0,17861.3,9.79039164013541
1946-6153,1884,5,9,25,39,0.1282051282051282,1,1,1,VIRGINIA,1884,Independent,,,16755.0,17546.0,18597.0,17966.4,9.796258625818274
1946-6153,1885,7,15,8,30,0.23333333333333334,1,1,1,VIRGINIA,1885,Independent,,,16755.0,17546.0,18597.0,18071.5,9.802091390655757
2151-3899,1890,67,84,19,170,0.3941176470588235,1,1,0,CALIFORNIA,1890,Republican,1.0,1.0,26830.0,34390.0,40339.0,40339.0,10.605074021909918
2157-3425,1885,28,6,19,53,0.5283018867924528,1,1,0,,1885,,,,18337.0,31977.0,58457.0,45217.0,10.719228401304807
2158-2688,1880,10,13,17,40,0.25,1,1,1,PENNSYLVANIA,1880,Democratic,0.0,0.0,121340.0,139447.0,149095.0,139447.0,11.845439879737098
2158-2688,1882,19,27,24,70,0.2714285714285714,1,1,1,PENNSYLVANIA,1882,Democratic,0.0,0.0,121340.0,139447.0,149095.0,141376.6,11.859182530772594
